time,.linear.x,.linear.y,.linear.z,.angular.x,.angular.y,.angular.z
2016/05/14/16:16:47.729353,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:47.779344,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:47.829334,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:47.879368,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:47.929378,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:47.979431,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:48.029447,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:48.079438,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:48.129396,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:48.179402,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:48.229373,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:48.279498,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:48.329431,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:48.379397,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:48.429418,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:48.479550,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:48.529408,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:48.579457,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:48.629425,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:48.679479,1.0,0.0,0.0,0.0,0.0,0.1
2016/05/14/16:16:48.729466,1.0,0.0,0.0,0.0,0.0,0.1
